# Supplementary Table ST12. Abundance data for all histone proteins and non-histone chromatin proteins with abundance values of more than 0.01% of Histone H4.,,,,,,,
SimChrom-SL,Gene,"Abundance relative to histone H4, %",Number of nucleosomes per protein,"Abundance PaxDb_PA, ppm",Entry,Uniquely localized in nucleus,Details (for Figure 4D)
Histones,H2BC5,5.2289,9.56,571.0,P58876,Yes,
Histones,H2AZ2,5.2198,9.58,570.0,Q71UI9,Yes,
Histones,H2BC12,5.2198,9.58,570.0,O60814,Yes,
Histones,H2BC9,5.2198,9.58,570.0,Q93079,Yes,
Histones,H2AZ1,5.2198,9.58,570.0,P0C0S5,Yes,
Histones,H2BC12L,5.2198,9.58,570.0,P57053,Yes,
Histones,H2BC14,5.2106,9.6,569.0,Q99879,Yes,
Histones,H2BC15,5.2106,9.6,569.0,Q99877,Yes,
Histones,H2BC13,5.1557,9.7,563.0,Q99880,Yes,
Histones,H2BU1,5.1007,9.8,557.0,Q8N257,Yes,
Histones,H2BC18,4.9451,10.11,540.0,Q5QNW6,Yes,
Histones,H2AC6,3.8828,12.88,424.0,Q93077,Yes,
Histones,H2AW,3.8736,12.91,423.0,Q7L7L0,Yes,
Histones,H2AC14,3.7454,13.35,409.0,Q99878,Yes,
Histones,H2AC12,3.7454,13.35,409.0,Q96KK5,Yes,
Histones,H2AC7,3.7271,13.42,407.0,P20671,Yes,
Histones,H2AJ,3.7271,13.42,407.0,Q9BTM1,Yes,
Histones,H1-0,3.5989,13.89,393.0,P07305,Yes,
Histones,MACROH2A1,3.0769,16.25,336.0,O75367,Yes,
Histones,H1-10,1.9231,26.0,210.0,Q92522,Yes,
Histones,H1-1,1.859,26.9,203.0,Q02539,Yes,
Histones,H2BC1,1.5659,31.93,171.0,Q96A08,Yes,
Histones,H3-4,1.5293,32.69,167.0,Q16695,Yes,
Histones,H1-6,1.2179,41.05,133.0,P22492,Yes,
Histones,MACROH2A2,0.913,54.76,99.7,Q9P0M6,Yes,
Histones,H3-7,0.7353,68.0,80.3,Q5TEC6,Yes,
Histones,H3-5,0.6648,75.21,72.6,Q6NXT2,Yes,
Histones,H4C7,0.0823,607.34,8.99,Q99525,Yes,
Histones,CENPA,0.0321,1555.56,3.51,P49450,Yes,
Histones,"H2AB2,H2AB3",0.0023,22195.12,0.246,P0C5Z0,Yes,
Histones,H1-7,0.001,52500.0,0.104,Q75WM6,Yes,
Histones,H2AB1,0.0003,143684.21,0.038,P0C5Y9,Yes,
HMG_A/B/N,HMGB1,16.227,03.08,1772.0,P09429,,
HMG_A/B/N,HMGN2,8.782,5.69,959.0,P05204,,
HMG_A/B/N,HMGB2,6.355,7.87,694.0,P26583,,
HMG_A/B/N,HMGA1,6.181,08.09,675.0,P17096,,
HMG_A/B/N,HMGN1,3.498,14.29,382.0,P05114,,
HMG_A/B/N,HMGB3,2.454,20.37,268.0,O15347,,
HMG_A/B/N,HMGN4,2.207,22.66,241.0,O00479,Yes,
HMG_A/B/N,HMGN5,0.806,62.05,88.0,P82970,Yes,
HMG_A/B/N,HMGN3,0.495,101.11,54.0,Q15651,,
HMG_A/B/N,HMGA2,0.318,157.35,34.7,P52926,,
HMG_A/B/N,HMGB4,0.002,27715.74,0.197,Q8WW32,,
Histone tail cleavage,CTSD,3.141,15.92,343.0,P07339,,
Histone tail cleavage,GLUD1,2.564,19.5,280.0,P00367,,
Histone tail cleavage,CTSG,1.667,30.0,182.0,P08311,,
Histone tail cleavage,ELANE,1.044,47.89,114.0,P08246,,
Histone tail cleavage,PRTN3,0.751,66.59,82.0,P24158,,
Histone tail cleavage,MMP9,0.417,120.0,45.5,P14780,,
Histone tail cleavage,CTSL,0.354,141.09,38.7,P07711,,
Histone tail cleavage,GZMA,0.115,433.33,12.6,P12544,,
Histone tail cleavage,JMJD7,0.03,1649.55,3.31,P0C870,,
Histone tail cleavage,KDM8,0.007,7081.71,0.771,Q8N371,,
Histone chaperones,NPM1,31.813,1.57,3474.0,P06748,,H3-H4
Histone chaperones,NCL,13.361,3.74,1459.0,P19338,,H2A-H2B
Histone chaperones,NAP1L1,5.055,9.89,552.0,P55209,,all histones
Histone chaperones,NASP,2.473,20.22,270.0,P49321,,H3-H4
Histone chaperones,RBBP4,2.344,21.33,256.0,Q09028,,H3-H4
Histone chaperones,NAP1L4,2.015,24.82,220.0,Q99733,,all histones
Histone chaperones,ANP32E,1.896,26.38,207.0,Q9BTT0,,H2A-H2B
Histone chaperones,RBBP7,1.758,28.44,192.0,Q16576,,H3-H4
Histone chaperones,SUPT6H,1.484,33.7,162.0,Q7KZ85,,H3-H4
Histone chaperones,MCM2,1.264,39.57,138.0,P49736,,H3-H4
Histone chaperones,SSRP1,1.218,41.05,133.0,Q08945,,all histones
Histone chaperones,SUPT16H,1.117,44.75,122.0,Q9Y5B9,,all histones
Histone chaperones,NPM3,0.685,72.99,74.8,O75607,,
Histone chaperones,IPO4,0.41,121.88,44.8,Q8TEX9,,
Histone chaperones,ASF1A,0.257,194.31,28.1,Q9Y294,,
Histone chaperones,DAXX,0.224,222.86,24.5,Q9UER7,,
Histone chaperones,CHAF1B,0.158,317.44,17.2,Q13112,,
Histone chaperones,ASF1B,0.141,354.55,15.4,Q9NVP2,,
Histone chaperones,ATRX,0.122,410.53,13.3,P46100,,
Histone chaperones,CHAF1A,0.12,416.79,13.1,Q13111,Yes,
Histone chaperones,UBN1,0.079,634.15,8.61,Q9NPG3,,
Histone chaperones,NAP1L5,0.066,761.51,7.17,Q96NT1,,
Histone chaperones,VPS72,0.053,947.92,5.76,Q15906,Yes,
Histone chaperones,HIRA,0.043,1161.7,4.7,P54198,,
Histone chaperones,TONSL,0.03,1690.4,3.23,Q96HA7,,
Histone chaperones,HJURP,0.015,3309.09,1.65,Q8NCD3,,
Histone chaperones,SPTY2D1,0.014,3545.45,1.54,Q68D10,Yes,
Histone chaperones,CABIN1,0.012,4105.26,1.33,Q9Y6J0,Yes,
Histone chaperones,NAP1L2,0.003,19640.29,0.278,Q9ULW6,,
Histone chaperones,NPM2,0.001,45123.97,0.121,Q86SE8,Yes,
Histone chaperones,NAP1L3,0.0,341250.0,0.016,Q99457,Yes,
RNA polymerases,POLR2E,0.581,86.12,63.4,P19388,Yes,
RNA polymerases,POLR2H,0.374,133.82,40.8,P52434,Yes,
RNA polymerases,POLR2B,0.338,147.97,36.9,P30876,Yes,
RNA polymerases,POLR2C,0.338,147.97,36.9,P19387,Yes,
RNA polymerases,POLR1C,0.282,177.27,30.8,O15160,Yes,
RNA polymerases,POLR2D,0.265,188.93,28.9,O15514,Yes,
RNA polymerases,POLR1D,0.242,206.82,26.4,P0DPB6,,
RNA polymerases,POLR1G,0.237,210.81,25.9,O15446,,
RNA polymerases,POLR2K,0.225,221.95,24.6,P53803,Yes,
RNA polymerases,POLR2G,0.22,227.5,24.0,P62487,Yes,
RNA polymerases,POLR2L,0.217,230.38,23.7,P62875,Yes,
RNA polymerases,POLR2A,0.217,230.38,23.7,P24928,,
RNA polymerases,POLR2I,0.204,244.84,22.3,P36954,Yes,
RNA polymerases,POLR1F,0.132,379.17,14.4,Q3B726,Yes,
RNA polymerases,POLR1E,0.122,410.53,13.3,Q9GZS1,Yes,
RNA polymerases,POLR1A,0.101,496.36,11.0,O95602,,
RNA polymerases,POLR3A,0.086,580.23,9.41,O14802,Yes,
RNA polymerases,POLR3C,0.082,606.67,9.0,Q9BUI4,Yes,
RNA polymerases,POLR2F,0.077,650.0,8.4,P61218,Yes,
RNA polymerases,POLR3D,0.075,667.48,8.18,P05423,,
RNA polymerases,POLR2J2,0.074,679.1,08.04,Q9GZM3,Yes,
RNA polymerases,POLR3G,0.069,727.03,7.51,O15318,,
RNA polymerases,POLR3F,0.066,761.51,7.17,Q9H1D9,Yes,
RNA polymerases,POLR3E,0.062,800.59,6.82,Q9NVU0,,
RNA polymerases,POLR2J,0.061,813.71,6.71,P52435,Yes,
RNA polymerases,POLR1B,0.061,813.71,6.71,Q9H9Y6,,
RNA polymerases,POLR2J3,0.056,890.7,6.13,Q9H1A7,Yes,
RNA polymerases,POLR3K,0.056,895.08,6.1,Q9Y2Y1,,
RNA polymerases,POLR3B,0.05,1005.52,5.43,Q9NW08,Yes,
RNA polymerases,POLR1H,0.047,1056.09,5.17,Q9P1U0,Yes,
RNA polymerases,CRCP,0.044,1142.26,4.78,O75575,,
RNA polymerases,POLR3H,0.031,1605.88,3.4,Q9Y535,,
RNA polymerases,POLR2M,0.027,1869.86,2.92,P0CAP2,Yes,
RNA polymerases,POLR3GL,0.01,5250.0,01.04,Q9BT43,,
Chromatin remodelers,ACTB,42.83,1.17,4677.0,P60709,,
Chromatin remodelers,ACTA1,6.749,7.41,737.0,P68133,,
Chromatin remodelers,RUVBL1,1.868,26.76,204.0,Q9Y265,,INO80
Chromatin remodelers,RUVBL2,1.658,30.17,181.0,Q9Y230,,INO80
Chromatin remodelers,DDX21,1.648,30.33,180.0,Q9NR30,,ISWI (B-WICH)
Chromatin remodelers,DEK,1.52,32.89,166.0,P35659,Yes,
Chromatin remodelers,SF3B1,1.245,40.15,136.0,O75533,Yes,ISWI (B-WICH)
Chromatin remodelers,ACTL6A,0.859,58.21,93.8,O96019,,
Chromatin remodelers,SMARCA5,0.712,70.27,77.7,O60264,,ISWI (B-WICH)
Chromatin remodelers,SMARCC2,0.607,82.35,66.3,Q8TAQ2,,SWI/SNF
Chromatin remodelers,UCHL5,0.6,83.36,65.5,Q9Y5K5,,INO80
Chromatin remodelers,CHD4,0.597,83.74,65.2,Q14839,,CHD (NURD)
Chromatin remodelers,MYBBP1A,0.593,84.26,64.8,Q9BQG0,,ISWI (B-WICH)
Chromatin remodelers,SMARCC1,0.571,87.64,62.3,Q92922,,SWI/SNF
Chromatin remodelers,SMARCE1,0.537,93.17,58.6,Q969G3,Yes,SWI/SNF
Chromatin remodelers,POLE3,0.454,110.08,49.6,Q9NRF9,,
Chromatin remodelers,YY1,0.398,125.52,43.5,P25490,Yes,
Chromatin remodelers,GATAD2B,0.396,126.39,43.2,Q8WXI9,Yes,
Chromatin remodelers,SMARCB1,0.389,128.47,42.5,Q12824,,
Chromatin remodelers,BCL7C,0.367,136.16,40.1,Q8WUZ0,,
Chromatin remodelers,GATAD2A,0.334,149.59,36.5,Q86YP4,Yes,
Chromatin remodelers,RB1,0.243,206.04,26.5,P06400,Yes,
Chromatin remodelers,MTA1,0.222,225.62,24.2,Q13330,,
Chromatin remodelers,RSF1,0.218,229.41,23.8,Q96T23,Yes,
Chromatin remodelers,PBRM1,0.204,244.84,22.3,Q86U86,Yes,
Chromatin remodelers,SMARCD2,0.203,245.95,22.2,Q92925,Yes,
Chromatin remodelers,SMARCA1,0.201,249.32,21.9,P28370,,
Chromatin remodelers,HLTF,0.192,260.0,21.0,Q14527,,
Chromatin remodelers,TFPT,0.182,274.37,19.9,P0C1Z6,Yes,
Chromatin remodelers,CHRAC1,0.176,284.38,19.2,Q9NRG0,Yes,
Chromatin remodelers,MORF4L1,0.172,290.43,18.8,Q9UBU8,,
Chromatin remodelers,ARID1A,0.168,296.74,18.4,O14497,Yes,
Chromatin remodelers,DMAP1,0.164,305.03,17.9,Q9NPF5,,
Chromatin remodelers,SMARCA2,0.16,312.0,17.5,P51531,Yes,
Chromatin remodelers,SMARCAD1,0.151,330.91,16.5,Q9H4L7,,
Chromatin remodelers,SS18,0.131,381.82,14.3,Q15532,,
Chromatin remodelers,MYD88,0.131,381.82,14.3,Q99836,,
Chromatin remodelers,MORF4L2,0.118,423.26,12.9,Q15014,,
Chromatin remodelers,SMARCD1,0.113,443.9,12.3,Q96GM5,,
Chromatin remodelers,MRGBP,0.112,447.54,12.2,Q9NV56,,
Chromatin remodelers,MEAF6,0.107,466.67,11.7,Q9HAF1,,
Chromatin remodelers,CHD3,0.104,478.95,11.4,Q12873,,
Chromatin remodelers,HELLS,0.096,520.0,10.5,Q9NRZ9,,
Chromatin remodelers,MTA3,0.093,535.29,10.2,Q9BTC8,,
Chromatin remodelers,CHD1L,0.082,608.02,8.98,Q86WJ1,,
Chromatin remodelers,BAZ1A,0.081,619.05,8.82,Q9NRL2,,
Chromatin remodelers,PHF10,0.073,688.52,7.93,Q8WUB8,Yes,
Chromatin remodelers,MCRS1,0.063,795.92,6.86,Q96EZ8,,
Chromatin remodelers,BTAF1,0.059,841.29,6.49,O14981,,
Chromatin remodelers,BCL7B,0.055,914.57,5.97,Q9BQE9,,
Chromatin remodelers,ARID1B,0.055,916.11,5.96,Q8NFD5,Yes,
Chromatin remodelers,BRD8,0.053,943.01,5.79,Q9H0E9,,
Chromatin remodelers,ERCC6L,0.051,973.26,5.61,Q2NKX8,,
Chromatin remodelers,ARID2,0.05,990.93,5.51,Q68CP9,,
Chromatin remodelers,INO80B,0.05,998.17,5.47,Q9C086,Yes,
Chromatin remodelers,CHD2,0.049,1012.99,5.39,O14647,Yes,
Chromatin remodelers,BCL7A,0.049,1016.76,5.37,Q4VC05,,
Chromatin remodelers,SS18L1,0.049,1026.32,5.32,O75177,,
Chromatin remodelers,ACTR6,0.047,1070.59,5.1,Q9GZN1,,
Chromatin remodelers,SRCAP,0.045,1112.02,4.91,Q6ZRS2,Yes,
Chromatin remodelers,ACTL6B,0.042,1181.82,4.62,O94805,Yes,
Chromatin remodelers,NFRKB,0.037,1341.52,04.07,Q6P4R8,Yes,
Chromatin remodelers,EP400,0.035,1429.32,3.82,Q96L91,Yes,
Chromatin remodelers,SMARCD3,0.031,1601.17,3.41,Q6STE5,Yes,
Chromatin remodelers,SMARCAL1,0.029,1695.65,3.22,Q9NZC9,Yes,
Chromatin remodelers,TTF2,0.029,1706.25,3.2,Q9UNY4,,
Chromatin remodelers,INO80E,0.027,1820.0,3.0,Q8NBZ0,Yes,
Chromatin remodelers,BICRA,0.022,2323.4,2.35,Q9NZM4,Yes,
Chromatin remodelers,INO80C,0.02,2470.59,2.21,Q6PI98,Yes,
Chromatin remodelers,BCL11A,0.02,2563.38,2.13,Q9H165,,
Chromatin remodelers,CHD7,0.016,3156.07,1.73,Q9P2D1,Yes,
Chromatin remodelers,RAD54L2,0.015,3250.0,1.68,Q9Y4B4,,
Chromatin remodelers,BCL11B,0.014,3477.71,1.57,Q9C0K0,Yes,
Chromatin remodelers,EPC1,0.014,3477.71,1.57,Q9H2F5,,
Chromatin remodelers,CECR2,0.011,4475.41,1.22,Q9BXF3,,
Chromatin remodelers,CHD9,0.01,5009.17,01.09,Q3L8U1,,
Chromatin remodelers,ERCC6,0.01,5102.8,01.07,Q03468,Yes,
Chromatin remodelers,ERCC6,0.008,6618.18,0.825,P0DP91,Yes,
Chromatin remodelers,CHD6,0.007,7448.84,0.733,Q8TD26,Yes,
Chromatin remodelers,INO80,0.006,8680.45,0.629,Q9ULG1,,
Chromatin remodelers,EPC2,0.005,9430.05,0.579,Q52LR7,Yes,
Chromatin remodelers,RAD54B,0.005,10340.91,0.528,Q9Y620,,
Chromatin remodelers,BICRAL,0.004,12638.89,0.432,Q6AI39,,
Chromatin remodelers,SHPRH,0.003,15511.36,0.352,Q149N8,,
Chromatin remodelers,DPF3,0.002,20760.46,0.263,Q92784,Yes,
Chromatin remodelers,DPF1,0.002,20919.54,0.261,Q92782,,
Chromatin remodelers,RAD54L,0.001,65783.13,0.083,Q92698,Yes,
Chromatin remodelers,ZRANB3,0.001,70909.09,0.077,Q5FWF4,,
Chromatin remodelers,NCR1,0.0,182000.0,0.03,O76036,,
Chromatin remodelers,ERCC6L2,0.0,303333.33,0.018,Q5T890,,
Regulation of transcription,ANXA2,15.339,3.26,1675.0,P07355,,
Regulation of transcription,HNRNPU,8.37,5.97,914.0,Q00839,,
Regulation of transcription,S100A10,6.868,7.28,750.0,P60903,,
Regulation of transcription,NONO,5.879,8.5,642.0,Q15233,,
Regulation of transcription,HNRNPAB,5.385,9.29,588.0,Q99729,,
Regulation of transcription,TRIM28,5.275,9.48,576.0,Q13263,Yes,
Regulation of transcription,SFPQ,4.084,12.24,446.0,P23246,,
Regulation of transcription,CTNNB1,0.971,51.51,106.0,P35222,,
Regulation of transcription,YAP1,0.88,56.82,96.1,P46937,,
Regulation of transcription,CBFB,0.752,66.5,82.1,Q13951,,
Regulation of transcription,DRAP1,0.481,104.0,52.5,Q14919,,
Regulation of transcription,DR1,0.464,107.69,50.7,Q01658,,
Regulation of transcription,CEBPZ,0.262,190.91,28.6,Q03701,,
Regulation of transcription,GEMIN5,0.208,240.53,22.7,Q8TEQ6,,
Regulation of transcription,TLE3,0.201,249.32,21.9,Q04726,,
Regulation of transcription,MED29,0.142,352.26,15.5,Q9NX70,Yes,
Regulation of transcription,MED15,0.139,359.21,15.2,Q96RN5,,
Regulation of transcription,ASCC2,0.134,373.97,14.6,Q9H1I8,,
Regulation of transcription,MED20,0.127,392.81,13.9,Q9H944,,
Regulation of transcription,TRIP4,0.11,455.0,12.0,Q15650,,
Regulation of transcription,MED1,0.104,478.95,11.4,Q15648,Yes,
Regulation of transcription,MED8,0.104,478.95,11.4,Q96G25,,
Regulation of transcription,BCL9L,0.102,491.89,11.1,Q86UU0,Yes,
Regulation of transcription,MED22,0.097,515.09,10.6,Q15528,Yes,
Regulation of transcription,PYGO2,0.092,540.59,10.1,Q9BRQ0,Yes,
Regulation of transcription,MED10,0.092,546.0,10.0,Q9BTT4,Yes,
Regulation of transcription,MED4,0.09,553.19,9.87,Q9NPJ6,,
Regulation of transcription,MED28,0.086,579.62,9.42,Q9H204,,
Regulation of transcription,MED11,0.086,581.47,9.39,Q9P086,Yes,
Regulation of transcription,MED18,0.066,753.1,7.25,Q9BUE0,Yes,
Regulation of transcription,MED9,0.06,837.42,6.52,Q9NWA0,,
Regulation of transcription,MED27,0.055,914.57,5.97,Q6P2C8,,
Regulation of transcription,MED6,0.054,920.74,5.93,O75586,,
Regulation of transcription,MED17,0.053,951.22,5.74,Q9NVC6,,
Regulation of transcription,MED21,0.052,952.88,5.73,Q13503,,
Regulation of transcription,NCOA2,0.051,975.0,5.6,Q15596,Yes,
Regulation of transcription,MED19,0.051,983.78,5.55,A0JLT2,Yes,
Regulation of transcription,TLE1,0.044,1139.87,4.79,Q04724,Yes,
Regulation of transcription,MED7,0.043,1164.18,4.69,O43513,,
Regulation of transcription,BCL9,0.042,1176.72,4.64,O00512,Yes,
Regulation of transcription,MED14,0.042,1186.96,4.6,O60244,Yes,
Regulation of transcription,MED24,0.041,1213.33,4.5,O75448,,
Regulation of transcription,MED30,0.04,1240.91,4.4,Q96HR3,Yes,
Regulation of transcription,LDB1,0.039,1266.82,4.31,Q86U70,Yes,
Regulation of transcription,MED26,0.038,1318.84,4.14,O95402,Yes,
Regulation of transcription,TLE4,0.037,1361.6,04.01,Q04727,,
Regulation of transcription,MED25,0.036,1378.79,3.96,Q71SY5,Yes,
Regulation of transcription,WWOX,0.035,1429.32,3.82,Q9NZC7,,
Regulation of transcription,MED23,0.033,1516.67,3.6,Q9ULK4,,
Regulation of transcription,MED16,0.032,1578.03,3.46,Q9Y2X0,Yes,
Regulation of transcription,MED31,0.025,2022.22,2.7,Q9Y3C7,Yes,
Regulation of transcription,LMO4,0.016,3192.98,1.71,P61968,,
Regulation of transcription,POU2AF1,0.011,4666.67,1.17,Q16633,,
Regulation of transcription,TAF1B,0.002,21752.99,0.251,Q53T94,,
Regulation of transcription,TAF1D,0.002,24052.86,0.227,Q9H5J8,,
Regulation of transcription,TAF1C,0.002,24375.0,0.224,Q15572,,
Regulation of transcription,HIPK2,0.001,53009.71,0.103,Q9H2X6,,
Regulation of transcription,TAF1A,0.001,67407.41,0.081,Q15573,,
Regulation of transcription,HYAL2,0.001,75833.33,0.072,Q12891,,
Regulation of transcription,SMAD6,0.0,227500.0,0.024,O43541,Yes,
General TFs,TCEA1,1.172,42.66,128.0,P23193,,
General TFs,ENY2,0.901,55.49,98.4,Q9NPA8,,
General TFs,GTF2F2,0.593,84.26,64.8,P13984,,
General TFs,GTF2F1,0.448,111.66,48.9,P35269,,
General TFs,TAF2,0.324,154.24,35.4,Q6P1X5,,
General TFs,MMS19,0.249,200.74,27.2,Q96T76,,
General TFs,GTF2B,0.234,214.12,25.5,Q00403,,
General TFs,TAF10,0.223,223.77,24.4,Q12962,Yes,
General TFs,GTF3C4,0.208,240.53,22.7,Q9UKN8,,
General TFs,GTF2E2,0.177,282.9,19.3,P29084,,
General TFs,GTF2A1,0.167,300.0,18.2,P52655,,
General TFs,GTF3C5,0.158,315.61,17.3,Q9Y5Q8,,
General TFs,GTF3C2,0.152,328.92,16.6,Q8WUA4,,
General TFs,GTF2E1,0.148,337.04,16.2,P29083,Yes,
General TFs,GTF3C1,0.143,350.0,15.6,Q12789,,
General TFs,TAF12,0.136,366.44,14.9,Q16514,,
General TFs,MNAT1,0.125,401.47,13.6,P51948,,
General TFs,GTF2A2,0.123,407.46,13.4,P52657,,
General TFs,TAF7,0.114,440.32,12.4,Q15545,,
General TFs,PAAF1,0.103,483.19,11.3,Q9BRP4,,
General TFs,CCNH,0.099,505.56,10.8,P51946,,
General TFs,GTF3C3,0.092,540.59,10.1,Q9Y5Q9,,
General TFs,CDK7,0.092,540.59,10.1,P50613,,
General TFs,TAF6,0.08,625.43,8.73,P49848,,
General TFs,TAF3,0.074,671.59,8.13,Q5VWG9,Yes,
General TFs,TAF9,0.074,679.1,08.04,Q16594,Yes,
General TFs,TAF9B,0.068,737.84,7.4,Q9HBM6,Yes,
General TFs,ERCC3,0.063,791.3,6.9,P19447,,
General TFs,GTF2H1,0.062,811.29,6.73,P32780,,
General TFs,TBP,0.061,818.59,6.67,P20226,Yes,
General TFs,TBPL1,0.06,832.32,6.56,P62380,,
General TFs,ERCC2,0.06,833.59,6.55,P18074,,
General TFs,TAF4,0.056,887.8,6.15,O00268,,
General TFs,TADA3,0.052,954.55,5.72,O75528,Yes,
General TFs,TAF5,0.048,1045.98,5.22,Q15542,,
General TFs,GTF3C6,0.044,1128.1,4.84,Q969F1,Yes,
General TFs,TRRAP,0.043,1161.7,4.7,Q9Y4A5,,
General TFs,GTF2H4,0.036,1396.42,3.91,Q92759,,
General TFs,GTF2H3,0.032,1582.61,3.45,Q13889,Yes,
General TFs,TAF6L,0.031,1615.38,3.38,Q9Y6J9,Yes,
General TFs,GTF2H5,0.029,1716.98,3.18,Q6ZYL4,,
General TFs,TAF8,0.028,1755.63,3.11,Q7Z7C8,,
General TFs,TAF5L,0.026,1889.27,2.89,O75529,,
General TFs,BRF2,0.026,1956.99,2.79,Q9HAW0,Yes,
General TFs,GTF2H2,0.021,2394.74,2.28,Q13888,Yes,
General TFs,"GTF2H2C,GTF2H2C_2",0.021,2415.93,2.26,Q6P1K8,,
General TFs,BRF1,0.019,2600.0,2.1,Q92994,Yes,
General TFs,TAF13,0.016,3120.0,1.75,Q15543,Yes,
General TFs,TAF11,0.01,4963.64,1.1,Q15544,,
General TFs,SUPT3H,0.008,5973.74,0.914,O75486,Yes,
General TFs,KAT2A,0.008,6232.88,0.876,Q92830,,
General TFs,ATXN7L3,0.008,6461.54,0.845,Q14CW9,,
General TFs,TAF1L,0.003,15423.73,0.354,Q8IZX4,,
General TFs,ATXN7,0.003,17388.54,0.314,O15265,,
General TFs,TAF4B,0.002,21245.14,0.257,Q92750,,
General TFs,TAF7L,0.002,21581.03,0.253,Q5H9L4,,
General TFs,BDP1,0.001,62045.45,0.088,A6H8Y1,Yes,
General TFs,GTF2A1L,0.001,78000.0,0.07,Q9UNN4,Yes,
SMC complexes,SMC3,0.806,62.05,88.0,Q9UQE7,,
SMC complexes,SMC1A,0.803,62.26,87.7,Q14683,,
SMC complexes,SMC2,0.539,92.7,58.9,O95347,,
SMC complexes,SMC4,0.524,95.45,57.2,Q9NTJ3,,
SMC complexes,RAD21,0.463,107.91,50.6,O60216,,
SMC complexes,NCAPD2,0.272,183.84,29.7,Q15021,,
SMC complexes,NCAPH,0.258,193.62,28.2,Q15003,,
SMC complexes,NCAPG,0.227,220.16,24.8,Q9BPX3,,
SMC complexes,STAG2,0.171,291.98,18.7,Q8N3U4,,
SMC complexes,NSMCE3,0.095,525.0,10.4,Q96MG7,,
SMC complexes,NSMCE2,0.089,559.43,9.76,Q96MF7,,
SMC complexes,STAG1,0.076,656.25,8.32,Q8WVM7,,
SMC complexes,NSMCE1,0.065,766.85,7.12,Q8WV22,,
SMC complexes,NCAPH2,0.06,836.14,6.53,Q6IBW4,,
SMC complexes,SMC5,0.057,882.07,6.19,Q8IY18,,
SMC complexes,SMC6,0.054,931.74,5.86,Q96SB8,,
SMC complexes,NCAPD3,0.053,947.92,5.76,P42695,Yes,
SMC complexes,NSMCE4A,0.04,1238.1,4.41,Q9NXX6,,
SMC complexes,NCAPG2,0.038,1322.03,4.13,Q86XI2,Yes,
SMC complexes,DDX11,0.011,4439.02,1.23,Q96FC9,,
SMC complexes,SMC1B,0.01,4831.86,1.13,Q8NDV3,,
SMC complexes,RAD21L1,0.01,5055.56,01.08,Q9H4I0,,
SMC complexes,SGO2,0.005,10167.6,0.537,Q562F6,,
SMC complexes,STAG3,0.004,13284.67,0.411,Q9UJ98,,
SMC complexes,SLF2,0.002,24375.0,0.224,Q8IX21,Yes,
SMC complexes,SLF1,0.002,28437.5,0.192,Q9BQI6,,
SMC complexes,REC8,0.001,52000.0,0.105,O95072,,
SMC complexes,EID3,0.001,60666.67,0.09,Q8N140,,
Histone PTM readers,CBX3,3.654,13.68,399.0,Q13185,Yes,Methylation
Histone PTM readers,CBX1,1.822,27.44,199.0,P83916,Yes,Methylation
Histone PTM readers,CBX5,1.328,37.66,145.0,P45973,,Methylation
Histone PTM readers,TTLL12,0.962,52.0,105.0,Q14166,,
Histone PTM readers,HDGFL2,0.622,80.41,67.9,Q7Z4V5,,Methylation
