# Supplementary Table ST15. List of Pfam domain models in chromatin proteins.,,,,,,
Entry,SimChrom-SL,Total number of Pfam domains,Number of distinct Pfam models,pfamA_ids,Domain annotations,Distinct domain annotations
P46531,Non-Housekeeping DNA-binding TFs,39,8,"EGF,Notch,NOD,EGF_CA,NODP,hEGF,Ank,Ank_2",,
P54132,DNA-acting enzymes,8,8,"DEAD,Helicase_C,HRDC,BDHCT,RQC,RecQ_Zn_bind,BLM_N,BDHCT_assoc",Chromatin remodeling,Chromatin remodeling
Q9UPY3,DNA-acting enzymes,9,8,"Helicase_C,Ribonuclease_3,PAZ,Dicer_dimer,ResIII,Dicer_dsRBD,Dicer_platform,Dicer_PBD",Chromatin remodeling,Chromatin remodeling
P51531,Chromatin remodelers,7,7,"Helicase_C,Bromodomain,HSA,BRK,QLQ,SnAC,SNF2-rel_dom","Chromatin remodeling;Chromatin remodeling;DNA binding;Histone acetylation, reader","Chromatin remodeling;DNA binding;Histone acetylation, reader"
Q92793,Histone PTM writers,8,7,"Bromodomain,ZZ,zf-TAZ,KIX,RING_CBP-p300,HAT_KAT11,Creb_binding","Histone acetylation, reader","Histone acetylation, reader"
Q9UQG0,DNA-acting enzymes,7,7,"RNase_H,RVT_1,IN_DBD_C,rve,Integrase_Zn,RVT_thumb,HERV-K_env_2",,
P51587,Histone modification,13,7,"BRCA2,BRCA-2_OB1,BRCA-2_OB3,Tower,BRCA-2_helical,BRCA2_TR2,BRCA2DBD_OB2",,
Q99466,Non-Housekeeping DNA-binding TFs,29,7,"EGF,Notch,NOD,EGF_CA,NODP,hEGF,Ank_2",,
Q9NW08,RNA polymerases,7,7,"RNA_pol_Rpb2_6,RNA_pol_Rpb2_7,RNA_pol_Rpb2_2,RNA_pol_Rpb2_1,RNA_pol_Rpb2_3,RNA_pol_Rpb2_4,RNA_pol_Rpb2_5",,
Q9BZ95,Histone PTM writers,8,7,"PWWP,SET,C5HCH,AWS,NSD_PHD,PHDvar_NSD,PHD-1st_NSD","Histone binding;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, writer","Histone binding;Histone methylation, reader;Histone methylation, writer"
P30876,RNA polymerases,7,7,"RNA_pol_Rpb2_6,RNA_pol_Rpb2_7,RNA_pol_Rpb2_2,RNA_pol_Rpb2_1,RNA_pol_Rpb2_3,RNA_pol_Rpb2_4,RNA_pol_Rpb2_5",,
Q14191,DNA-acting enzymes,7,7,"DEAD,Helicase_C,HRDC,DNA_pol_A_exo1,RQC,HTH_40,RecQ_Zn_bind",Chromatin remodeling,Chromatin remodeling
P51532,Histone PTM readers,7,7,"Helicase_C,Bromodomain,HSA,BRK,QLQ,SnAC,SNF2-rel_dom","Chromatin remodeling;Chromatin remodeling;DNA binding;Histone acetylation, reader","Chromatin remodeling;DNA binding;Histone acetylation, reader"
P10266,DNA-acting enzymes,7,7,"RNase_H,RVT_1,IN_DBD_C,rve,Integrase_Zn,RVT_thumb,HERV-K_env_2",,
Q9UGL1,Histone PTM erasers,9,7,"PHD,ARID,JmjC,JmjN,zf-C5HC2,PLU-1,KDM5_C-hel","DNA binding;DNA binding;Histone methylation, eraser;Histone methylation, eraser;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader","DNA binding;Histone methylation, eraser;Histone methylation, reader"
P41229,Histone PTM erasers,7,7,"PHD,ARID,JmjC,JmjN,zf-C5HC2,PLU-1,KDM5_C-hel","DNA binding;DNA binding;Histone methylation, eraser;Histone methylation, eraser;Histone methylation, reader","DNA binding;Histone methylation, eraser;Histone methylation, reader"
P29375,Histone PTM erasers,8,7,"PHD,ARID,JmjC,JmjN,zf-C5HC2,PLU-1,KDM5_C-hel","DNA binding;DNA binding;Histone methylation, eraser;Histone methylation, eraser;Histone methylation, reader;Histone methylation, reader","DNA binding;Histone methylation, eraser;Histone methylation, reader"
Q9NVI1,DNA repair,7,7,"FANCI_S1-cap,FANCI_S1,FANCI_S2,FANCI_S3,FANCI_S4,FANCI_HD1,FANCI_HD2",,
P09874,Histone PTM writers,8,7,"BRCT,PARP,zf-PARP,PARP_reg,WGR,PADR1_Zn_ribbon,PADR1_N",,
Q04721,Housekeeping DNA-binding TFs,39,7,"EGF,Notch,NOD,EGF_CA,NODP,hEGF,Ank_2",,
Q09472,Histone PTM writers,8,7,"Bromodomain,ZZ,zf-TAZ,KIX,RING_CBP-p300,HAT_KAT11,Creb_binding","Histone acetylation, reader","Histone acetylation, reader"
Q9BY66,Histone PTM erasers,7,7,"PHD,ARID,JmjC,JmjN,zf-C5HC2,PLU-1,KDM5_C-hel","DNA binding;DNA binding;Histone methylation, eraser;Histone methylation, eraser;Histone methylation, reader","DNA binding;Histone methylation, eraser;Histone methylation, reader"
P52701,Histone PTM readers,6,6,"MutS_V,PWWP,MutS_I,MutS_II,MutS_IV,MutS_III","Histone methylation, reader","Histone methylation, reader"
Q9H5L6,DNA-acting enzymes,6,6,"THAP,Tnp_P_element,THAP9_C,TNP-like_RNaseH_C,TNP-like_GBD,TNP-like_RNaseH_N",,
Q06787,Histone PTM readers,7,6,"Agenet,FXMRP1_C_core,FXMR_C2,Tudor_FRX1,KH_9,KH_1",,
Q9BXR3,DNA-acting enzymes,6,6,"RNase_H,RVT_1,IN_DBD_C,rve,Integrase_Zn,RVT_thumb",,
Q99973,DNA-acting enzymes,16,6,"TEP1_N,NACHT,TROVE,DUF4062,DUF5920,WD40",Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
Q15596,Regulation of transcription,6,6,"PAS,DUF1518,Nuc_rec_co-act,SRC-1,PAS_11,DUF4927",,
Q9WJR5,DNA-acting enzymes,6,6,"RNase_H,RVT_1,IN_DBD_C,rve,Integrase_Zn,RVT_thumb",,
Q9UMN6,Histone modification,7,6,"PHD,SET,zf-CXXC,FYRN,FYRC,zf-HC5HC2H","DNA binding;Histone methylation, reader;Histone methylation, reader;Histone methylation, writer;PPI;PPI","DNA binding;Histone methylation, reader;Histone methylation, writer;PPI"
Q8NEZ4,Histone PTM writers,9,6,"PHD,SET,FYRN,FYRC,zf-HC5HC2H,zf-HC5HC2H_2","Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, writer;PPI;PPI","Histone methylation, reader;Histone methylation, writer;PPI"
Q14562,RNA processing,6,6,"DEAD,Helicase_C,S1,HA2_N,OB_NTP_bind,HA2_C",Chromatin remodeling,Chromatin remodeling
Q9H6R4,Preribosome-associated,6,6,"Nrap,Nrap_D2,Nrap_D3,Nrap_D4,Nrap_D5,Nrap_D6",,
Q08945,Histone chaperones,6,6,"HMG_box,SSrecog,Rttp106-like_middle,POB3_N,PH1_SSRP1-like,SSRP1_C",DNA binding,DNA binding
Q9Y6Q9,Histone PTM writers,6,6,"PAS,DUF1518,Nuc_rec_co-act,SRC-1,PAS_11,DUF4927",,
P78527,Histone PTM writers,6,6,"PI3_PI4_kinase,FAT,FATC,DNAPKcs_CC3,DNAPKcs_CC1-2,DNAPKcs_CC5","Histone phosphorylation, writer","Histone phosphorylation, writer"
Q03164,Histone PTM writers,7,6,"PHD,SET,zf-CXXC,FYRN,FYRC,zf-HC5HC2H","DNA binding;Histone methylation, reader;Histone methylation, reader;Histone methylation, writer;PPI;PPI","DNA binding;Histone methylation, reader;Histone methylation, writer;PPI"
Q9H9Y6,RNA polymerases,6,6,"RNA_pol_Rpb2_6,RNA_pol_Rpb2_7,RNA_pol_Rpb2_2,RNA_pol_Rpb2_1,RNA_pol_Rpb2_3,RNA_pol_Rpa2_4",,
Q15047,Histone PTM writers,6,6,"SET,MBD,Pre-SET,Tudor_5,Tudor_4,DUF5604","DNA methylation;Histone methylation, writer","DNA methylation;Histone methylation, writer"
P11388,DNA-acting enzymes,6,6,"DNA_gyraseB,DNA_topoisoIV,Toprim,HATPase_c,DTHCT,TOPRIM_C",,
O14686,Histone PTM writers,9,6,"PHD,SET,FYRN,FYRC,zf-HC5HC2H,zf-HC5HC2H_2","Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, writer;PPI;PPI","Histone methylation, reader;Histone methylation, writer;PPI"
Q149N8,Chromatin remodelers,6,6,"Helicase_C,Linker_histone,zf-RING_UBOX,SHPRH_helical-1st,SHPRH_helical-2nd,SNF2-rel_dom",Chromatin remodeling;Chromatin remodeling,Chromatin remodeling
P25054,Centromere-associated,8,6,"Arm,EB1_binding,APC_basic,Suppressor_APC,APC_N_CC,APC_rep",,
P63133,DNA-acting enzymes,6,6,"RNase_H,RVT_1,IN_DBD_C,rve,Integrase_Zn,RVT_thumb",,
P42226,Housekeeping DNA-binding TFs,6,6,"SH2,STAT_alpha,STAT_bind,STAT_int,STAT6_C,STAT_linker",,
P63136,DNA-acting enzymes,6,6,"RNase_H,RVT_1,IN_DBD_C,rve,Integrase_Zn,RVT_thumb",,
Q08211,DNA-acting enzymes,7,6,"dsrm,DEAD,Helicase_C,HA2_N,OB_NTP_bind,HA2_C",Chromatin remodeling,Chromatin remodeling
Q02880,DNA-acting enzymes,6,6,"DNA_gyraseB,DNA_topoisoIV,Toprim,HATPase_c,DTHCT,TOPRIM_C",,
P63132,DNA-acting enzymes,6,6,"RNase_H,RVT_1,IN_DBD_C,rve,Integrase_Zn,RVT_thumb",,
P52630,Housekeeping DNA-binding TFs,6,6,"SH2,STAT_alpha,STAT_bind,STAT_int,STAT2_C,STAT_linker",,
O14980,Centromere-associated,6,6,"IBN_N,Xpo1,CRM1_C,CRM1_repeat_3,CRM1_repeat_2,CRM1_repeat",,
O94776,Chromatin remodelers,5,5,"Myb_DNA-binding,GATA,BAH,ELM2,MTA_R1","DNA binding;DNA binding;Histone methylation, reader;PPI","DNA binding;Histone methylation, reader;PPI"
Q9NR48,Histone PTM writers,5,5,"Bromodomain,SET,BAH,PHD_5,AWS","Histone acetylation, reader;Histone binding;Histone methylation, reader;Histone methylation, writer","Histone acetylation, reader;Histone binding;Histone methylation, reader;Histone methylation, writer"
Q15788,Histone PTM writers,6,5,"PAS,DUF1518,Nuc_rec_co-act,SRC-1,PAS_11",,
Q8NHM5,Histone PTM erasers,5,5,"zf-CXXC,F-box-like,Cupin_8,PHD_4,JHD",DNA binding,DNA binding
O60231,RNA processing,5,5,"DEAD,Helicase_C,HA2_N,OB_NTP_bind,HA2_C",Chromatin remodeling,Chromatin remodeling
Q9H2U1,DNA-acting enzymes,5,5,"DEAD,Helicase_C,HA2_N,OB_NTP_bind,HA2_C",Chromatin remodeling,Chromatin remodeling
Q9H3R0,Histone PTM erasers,6,5,"JmjC,JmjN,PHD_2,zf-HC5HC2H_2,Tudor_2","Histone methylation, eraser;Histone methylation, eraser;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader","Histone methylation, eraser;Histone methylation, reader"
O43143,RNA processing,5,5,"DEAD,Helicase_C,HA2_N,OB_NTP_bind,HA2_C",Chromatin remodeling,Chromatin remodeling
Q9NRL2,Chromatin remodelers,5,5,"Bromodomain,PHD,DDT,WAC_Acf1_DNA_bd,WSD","DNA binding;DNA binding;Histone acetylation, reader;Histone methylation, reader","DNA binding;Histone acetylation, reader;Histone methylation, reader"
Q9Y5B9,Histone chaperones,5,5,"Peptidase_M24,Rttp106-like_middle,SPT16,FACT-Spt16_Nlob,SPT16_C",,
P42285,RNA processing,5,5,"DEAD,Helicase_C,DSHCT,MTR4_beta-barrel,MTR4-like_stalk",Chromatin remodeling,Chromatin remodeling
Q14765,Housekeeping DNA-binding TFs,5,5,"SH2,STAT_alpha,STAT_bind,STAT_int,STAT_linker",,
Q15029,RNA processing,5,5,"GTP_EFTU,EFG_C,EFG_IV,EFG_III,EFTUD2",,
Q9QC07,DNA-acting enzymes,5,5,"RNase_H,RVT_1,rve,Integrase_Zn,RVT_thumb",,
O60306,RNA processing,5,5,"AAA_11,AAA_12,Aquarius_N_1st,Aquarius_N_3rd,Aquarius_N_2nd",,
Q9UIF9,Histone PTM readers,5,5,"Bromodomain,PHD,MBD,DDT,WSD","DNA binding;DNA binding;DNA methylation;Histone acetylation, reader;Histone methylation, reader","DNA binding;DNA methylation;Histone acetylation, reader;Histone methylation, reader"
P43246,DNA-acting enzymes,5,5,"MutS_V,MutS_I,MutS_II,MutS_IV,MutS_III",,
Q9ULD4,Histone modification,5,5,"Bromodomain,PWWP,EPL1,PHD_2,zf-HC5HC2H_2","Histone acetylation, reader;Histone methylation, reader;Histone methylation, reader","Histone acetylation, reader;Histone methylation, reader"
P49917,DNA-acting enzymes,6,5,"BRCT,DNA_ligase_A_M,DNA_ligase_A_N,DNA_ligase_A_C,DNA_ligase_IV",,
P42224,Housekeeping DNA-binding TFs,5,5,"SH2,STAT_alpha,STAT_bind,STAT_int,STAT_linker",,
Q9BTC8,Chromatin remodelers,5,5,"Myb_DNA-binding,GATA,BAH,ELM2,MTA_R1","DNA binding;DNA binding;Histone methylation, reader;PPI","DNA binding;Histone methylation, reader;PPI"
Q14566,DNA-acting enzymes,5,5,"MCM,MCM_N,MCM_OB,MCM_lid,MCM6_C",,
Q8TCS8,RNA processing,6,5,"S1,RNase_PH,RNase_PH_C,PNPase,KH_1",,
P49736,Histone chaperones,5,5,"MCM,MCM2_N,MCM_N,MCM_OB,MCM_lid",,
O75643,RNA processing,7,5,"DEAD,Helicase_C,Sec63,BRR2_plug,Helicase_PWI",Chromatin remodeling,Chromatin remodeling
Q9NX02,Telomere-associated,7,5,"PYRIN,NACHT,LRR_6,NLRC4_HD2,NOD2_WH",,
Q92922,Chromatin remodelers,5,5,"Myb_DNA-binding,SWIRM,SWIRM-assoc_1,SWIRM-assoc_2,SWIRM-assoc_3",DNA binding;DNA binding,DNA binding
Q9UBZ9,DNA-acting enzymes,6,5,"BRCT,IMS,IMS_C,REV1_C,IMS_HHH_1",,
O14647,Chromatin remodelers,6,5,"Helicase_C,Chromo,CHD1-like_C,CDH1_2_SANT_HL1,SNF2-rel_dom","Chromatin remodeling;Chromatin remodeling;Histone methylation, reader;Histone methylation, reader","Chromatin remodeling;Histone methylation, reader"
P40763,Nuclear hormone receptors,5,5,"SH2,STAT_alpha,STAT_bind,STAT_int,STAT_linker",,
Q8TAQ2,Chromatin remodelers,5,5,"Myb_DNA-binding,SWIRM,SWIRM-assoc_1,SWIRM-assoc_2,SWIRM-assoc_3",DNA binding;DNA binding,DNA binding
Q15910,Histone PTM writers,5,5,"SET,EZH2_WD-Binding,Ezh2_MCSS,preSET_CXC,PRC2_HTH_1","Histone methylation, writer","Histone methylation, writer"
P38935,DNA-acting enzymes,5,5,"R3H,zf-AN1,AAA_11,AAA_12,SMUBP-2_HCS1_1B",,
P42229,Housekeeping DNA-binding TFs,5,5,"SH2,STAT_alpha,STAT_bind,STAT_int,STAT_linker",,
O95602,RNA polymerases,5,5,"RNA_pol_Rpb1_2,RNA_pol_Rpb1_3,RNA_pol_Rpb1_1,RNA_pol_Rpb1_5,RNA_pol_Rpb1_4",,
Q7Z6Z7,Histone PTM writers,5,5,"HECT,WWE,DUF908,DUF913,UBA_7",,
O95696,Histone modification,5,5,"Bromodomain,PWWP,EPL1,PHD_2,zf-HC5HC2H_2","Histone acetylation, reader;Histone methylation, reader;Histone methylation, reader","Histone acetylation, reader;Histone methylation, reader"
Q9Y4F3,DNA repair,9,5,"RRM_1,NYN,MARF1_RRM1,OST-HTH,MARF1_LOTUS",RNA binding,RNA binding
P55201,Histone modification,5,5,"Bromodomain,PWWP,EPL1,PHD_2,zf-HC5HC2H_2","Histone acetylation, reader;Histone methylation, reader;Histone methylation, reader","Histone acetylation, reader;Histone methylation, reader"
O75164,Histone PTM erasers,6,5,"JmjC,JmjN,PHD_2,zf-HC5HC2H_2,Tudor_2","Histone methylation, eraser;Histone methylation, eraser;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader","Histone methylation, eraser;Histone methylation, reader"
Q8IYB8,DNA-acting enzymes,5,5,"Helicase_C,SUV3_C,DEXQc_Suv3,Suv3_C_1,Suv3_N",Chromatin remodeling,Chromatin remodeling
Q92800,Histone PTM writers,5,5,"SET,EZH2_WD-Binding,Ezh2_MCSS,preSET_CXC,PRC2_HTH_1","Histone methylation, writer","Histone methylation, writer"
P04053,DNA-acting enzymes,5,5,"BRCT,NTP_transf_2,DNA_pol_lambd_f,HHH_8,DNA_pol_B_thumb",,
Q9Y6K1,DNA de_methylation,5,5,"DNA_methylase,PWWP,DNM3A_N,DNMT3_ADD_GATA1-like,ADD_DNMT3","DNA methylation;Histone binding;Histone binding;Histone methylation, reader","DNA methylation;Histone binding;Histone methylation, reader"
P22314,Heterochromatin-associated,6,5,"ThiF,E1_UFD,UBA_E1_SCCH,E1_FCCH,E1_4HB",,
O14802,RNA polymerases,5,5,"RNA_pol_Rpb1_2,RNA_pol_Rpb1_3,RNA_pol_Rpb1_1,RNA_pol_Rpb1_5,RNA_pol_Rpb1_4",,
Q13330,Chromatin remodelers,5,5,"Myb_DNA-binding,GATA,BAH,ELM2,MTA_R1","DNA binding;DNA binding;Histone methylation, reader;PPI","DNA binding;Histone methylation, reader;PPI"
O14646,Histone PTM readers,6,5,"Helicase_C,Chromo,CHD1-like_C,CDH1_2_SANT_HL1,SNF2-rel_dom","Chromatin remodeling;Chromatin remodeling;Histone methylation, reader;Histone methylation, reader","Chromatin remodeling;Histone methylation, reader"
O94762,DNA-acting enzymes,5,5,"DEAD,Helicase_C,RecQ5,RecQ_Zn_bind,SRI",Chromatin remodeling,Chromatin remodeling
P49916,DNA-acting enzymes,5,5,"zf-PARP,DNA_ligase_A_M,DNA_ligase_A_N,DNA_ligase_A_C,LIG3_BRCT",,
P51692,Housekeeping DNA-binding TFs,5,5,"SH2,STAT_alpha,STAT_bind,STAT_int,STAT_linker",,
O75417,DNA-acting enzymes,5,5,"DEAD,Helicase_C,DNA_pol_A,POLQ_helical,HTH_61",Chromatin remodeling,Chromatin remodeling
Q9Y2L1,RNA processing,5,5,"RNB,PIN_4,Rrp44_S1,Rrp44_CSD1,OB_Dis3",,
P26358,DNA de_methylation,6,5,"DNA_methylase,BAH,zf-CXXC,DMAP_binding,DNMT1-RFD","DNA binding;DNA methylation;Histone methylation, reader;Histone methylation, reader","DNA binding;DNA methylation;Histone methylation, reader"
P33992,DNA-acting enzymes,5,5,"MCM,MCM_N,MCM_OB,MCM_lid,MCM5_C",,
O60674,Histone PTM writers,6,5,"SH2_1,FERM_F1,FERM_F2,Jak1_Phl,PK_Tyr_Ser-Thr","Histone phosphorylation, writer;Histone phosphorylation, writer","Histone phosphorylation, writer"
O94953,Histone PTM erasers,6,5,"JmjC,JmjN,PHD_2,zf-HC5HC2H_2,Tudor_2","Histone methylation, eraser;Histone methylation, eraser;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader","Histone methylation, eraser;Histone methylation, reader"
P62701,Preribosome-associated,4,4,"KOW,Ribosomal_S4e,RS4NT,40S_S4_C",,
P17252,Histone modification,5,4,"C1_1,C2,Pkinase_C,Pkinase","Histone phosphorylation, writer;Histone phosphorylation, writer","Histone phosphorylation, writer"
O14607,Histone modification,4,4,"JmjC,TPR_8,KDM6_GATAL,KDM6_C-hel","Histone methylation, eraser","Histone methylation, eraser"
Q63HK3,Non-Housekeeping DNA-binding TFs,9,4,"KRAB,SCAN,Myb_DNA-bind_4,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P00519,DNA repair,4,4,"SH2,SH3_1,F_actin_bind,PK_Tyr_Ser-Thr","Histone phosphorylation, writer","Histone phosphorylation, writer"
O60678,Histone modification,4,4,"PrmA,PRMT_C,ANM3_zf-C2H2,ANM3_C2H2_Zf","Dimerization/oligomerization;Histone methylation, writer","Dimerization/oligomerization;Histone methylation, writer"
P52756,RNA processing,5,4,"RRM_1,zf-RanBP,G-patch,OCRE",RNA binding;RNA binding,RNA binding
P15918,Histone PTM writers,4,4,"zf-C3HC4,zf-RAG1,RAG1_imp_bd,RAG1",,
P98175,RNA processing,4,4,"RRM_1,zf-RanBP,G-patch,OCRE",RNA binding,RNA binding
P05771,Histone PTM writers,5,4,"C1_1,C2,Pkinase_C,Pkinase","Histone phosphorylation, writer;Histone phosphorylation, writer","Histone phosphorylation, writer"
O60318,Histone modification,4,4,"SAC3_GANP,CID_GANP,NupH_GANP,MCM3AP_GANP",,
A8MT65,Non-Housekeeping DNA-binding TFs,7,4,"KRAB,zf-H2C2_2,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding,DNA binding
Q8IWV8,Histone PTM writers,4,4,"zf-UBR,ClpS,PRT6_C,UBR1-like_wing",,
P03372,Nuclear hormone receptors,4,4,"Hormone_recep,zf-C4,Oest_recep,ESR1_C",,
Q96L91,Chromatin remodelers,4,4,"Helicase_C,HSA,EP400_N,SNF2-rel_dom",Chromatin remodeling;Chromatin remodeling;DNA binding,Chromatin remodeling;DNA binding
Q92794,Histone PTM writers,5,4,"PHD,MOZ_SAS,zf-MYST,SAMD1_WH","DNA binding;Histone acetylation, writer;Histone acetylation, writer;Histone methylation, reader;Histone methylation, reader","DNA binding;Histone acetylation, writer;Histone methylation, reader"
Q14190,Non-Housekeeping DNA-binding TFs,4,4,"HLH,PAS,SIM_C,PAS_3",,
Q96PU4,Heterochromatin-associated,4,4,"ubiquitin,PHD,SAD_SRA,TTD","Histone methylation, reader","Histone methylation, reader"
Q16665,Housekeeping DNA-binding TFs,4,4,"PAS,PAS_3,HIF-1a_CTAD,HIF-1",,
Q96KQ7,Histone PTM writers,8,4,"SET,Pre-SET,EHMT1-2_CRR,Ank","Histone methylation, writer","Histone methylation, writer"
P07199,Heterochromatin-associated,4,4,"DDE_1,HTH_Tnp_Tc5,CENP-B_N,CENP-B_dimeris",,
Q9UBC3,DNA de_methylation,4,4,"DNA_methylase,PWWP,DNMT3_ADD_GATA1-like,ADD_DNMT3","DNA methylation;Histone binding;Histone binding;Histone methylation, reader","DNA methylation;Histone binding;Histone methylation, reader"
O60934,DNA recombination,4,4,"FHA,BRCT,Nbs1_C,NIBRIN_BRCT_II",,
Q9BYW2,Histone PTM writers,4,4,"WW,SET,AWS,SRI","Histone binding;Histone methylation, writer","Histone binding;Histone methylation, writer"
Q8WYB5,Histone PTM writers,4,4,"PHD,MOZ_SAS,zf-MYST,SAMD1_WH","DNA binding;Histone acetylation, writer;Histone acetylation, writer;Histone methylation, reader","DNA binding;Histone acetylation, writer;Histone methylation, reader"
Q13360,Non-Housekeeping DNA-binding TFs,7,4,"KRAB,zf-H2C2_2,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8TDB6,Histone PTM writers,5,4,"zf-C3HC4_2,DTX3L_KH-like,DTX3L_a-b,DTC",,
Q15935,Housekeeping DNA-binding TFs,9,4,"KRAB,zf-H2C2_2,zf-C2H2,zf-C2H2_4",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q13342,Non-Housekeeping DNA-binding TFs,4,4,"Bromodomain,PHD,SAND,HSR","Histone acetylation, reader;Histone methylation, reader","Histone acetylation, reader;Histone methylation, reader"
O43345,Non-Housekeeping DNA-binding TFs,24,4,"KRAB,zf-H2C2_2,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9Y4A5,General TFs,4,4,"PI3_PI4_kinase,FAT,Tra1_ring,Tra1_central","Histone phosphorylation, writer","Histone phosphorylation, writer"
Q9BUI4,RNA polymerases,4,4,"RNA_pol_Rpc82,HTH_9,POLR3C_WHD,RPC3_helical",,
P14866,RNA processing,4,4,"RRM_1,RRM_8,RRM_5,RRM_10",RNA binding,RNA binding
Q13535,Histone PTM writers,4,4,"PI3_PI4_kinase,FAT,FATC,UME","Histone phosphorylation, writer","Histone phosphorylation, writer"
Q05655,Histone PTM writers,5,4,"C1_1,Pkinase_C,PKC_C2,Pkinase","Histone phosphorylation, writer;Histone phosphorylation, writer","Histone phosphorylation, writer"
P52737,Housekeeping DNA-binding TFs,13,4,"KRAB,zf-C2H2_6,zf-C2H2,zf-C2H2_4",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q494X3,Non-Housekeeping DNA-binding TFs,13,4,"KRAB,zf-H2C2_2,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q13315,Histone PTM writers,4,4,"PI3_PI4_kinase,FAT,FATC,TAN","Histone phosphorylation, writer","Histone phosphorylation, writer"
